timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,7187589157,660628.6,10710,3197833,12221598,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,tpch,1309,295968743,1309,295968743,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,taxi,659,1064016617,659,1064016617,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,lastfm,1216,1867138,1216,1867138,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,mm,2785,569189337,2785,569189337,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,clickbench,1572,646756165,1572,646756165,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,fmnist,1216,6140828,1216,6140828,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,sift,1216,3142849,1216,3142849,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170232,headroom_b128_block1_depth0_passthrough,passthrough,prefix,emb_real,1216,969764,1216,969764,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,all,,11189,2588051441,6331,2447110144,0.9455,0.4342,0,0,0,5766681589,534646.6,151936,2523994,10161659,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,tpch,1309,295968743,605,122729226,0.4147,0.5378,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,taxi,659,1064016617,622,1019168751,0.9579,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,lastfm,1216,1867138,75,5482913,2.9365,0.9383,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,mm,2785,569189337,1939,511904306,0.8994,0.3038,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,clickbench,1572,646756165,1358,672823988,1.0403,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,fmnist,1216,6140828,951,63541325,10.3474,0.2179,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,sift,1216,3142849,756,49700021,15.8137,0.3783,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170326,headroom_b128_block1_depth0_forced_s3a_random,forced_s3a_random,prefix,emb_real,1216,969764,25,1759614,1.8145,0.9794,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170431,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,all,,11189,2588051441,5996,2782542610,1.0751,0.4641,0,0,0,7608285424,698981.2,174048,3191421,12161746,0,0,0,0,0
20260729-170431,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,tpch,1309,295968743,580,154582423,0.5223,0.5569,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170431,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,taxi,659,1064016617,634,1099976705,1.0338,0.0379,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170431,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,lastfm,1216,1867138,21,3910049,2.0941,0.9827,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-170431,headroom_b128_block1_depth0_forced_template_locality,forced_template_locality,prefix,mm,2785,569189337,1883,635477021,1.1165,0.3239,0,0,0,0,0.0,0,0,0,0,0,0,0,0
