timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes,budgetMiB,prefetchBlockMiB,prefetchDepth,case,costSeconds
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,6893076134,1082282.4,9729,2802969,12298443,0,0,0,0,0,128,1,0,passthrough,584.1316
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,tpch,1309,295968743,1309,295968743,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,68.2726
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,taxi,659,1064016617,659,1064016617,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,43.0973
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,lastfm,1216,1867138,1216,1867138,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,60.8178
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,mm,2785,569189337,2785,569189337,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,144.6782
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,clickbench,1572,646756165,1572,646756165,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,84.7679
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,fmnist,1216,6140828,1216,6140828,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,60.8586
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,sift,1216,3142849,1216,3142849,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,60.8300
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,emb_real,1216,969764,1216,969764,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,passthrough,60.8092
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,6893076134,1082282.4,9729,2802969,12298443,0,0,0,0,0,128,1,1,passthrough,584.1316
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,tpch,1309,295968743,1309,295968743,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,68.2726
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,taxi,659,1064016617,659,1064016617,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,43.0973
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,lastfm,1216,1867138,1216,1867138,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,60.8178
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,mm,2785,569189337,2785,569189337,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,144.6782
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,clickbench,1572,646756165,1572,646756165,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,84.7679
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,fmnist,1216,6140828,1216,6140828,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,60.8586
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,sift,1216,3142849,1216,3142849,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,60.8300
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,prefix,emb_real,1216,969764,1216,969764,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,1,passthrough,60.8092
20260729-191740,headroom_b128_block1_depth0_passthrough,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,6893076134,1082282.4,9729,2802969,12298443,0,0,0,0,0,128,4,4,passthrough,584.1316
