budgetMiB,prefetchBlockMiB,prefetchDepth,objective,unit,oracleStaticPolicy,oracleStatic,oraclePerWorkload,adaptivityGapPct,passthroughVsOraclePct,templateAutoVsOraclePct,decisionTreeVsOraclePct
128,1,0,bytes,bytes,template_multimodal,2437913341.0000,2434515515.0000,+0.14,+6.31,+30.82,+18.39
128,1,0,cost,seconds,template_locality,326.3364,294.7780,+10.71,+98.16,+9.70,+4.23
128,1,1,bytes,bytes,template_multimodal,2437913341.0000,2434515515.0000,+0.14,+6.31,+74.17,+34.67
128,1,1,cost,seconds,template_multimodal,335.6498,323.2335,+3.84,+80.72,+22.90,+5.13
128,4,4,bytes,bytes,template_multimodal,2437913341.0000,2434515515.0000,+0.14,+6.31,+474.38,+122.61
128,4,4,cost,seconds,template_multimodal,335.6498,327.4641,+2.50,+78.38,+67.52,+21.00
128,8,8,bytes,bytes,template_multimodal,2437913341.0000,2434515515.0000,+0.14,+6.31,+1359.76,+226.96
128,8,8,cost,seconds,template_multimodal,335.6498,330.4624,+1.57,+76.76,+151.77,+40.72
256,1,0,bytes,bytes,template_multimodal,2162188324.0000,2158790498.0000,+0.16,+19.88,+31.20,+9.90
256,1,0,cost,seconds,s3a_prefetch,261.7943,238.1460,+9.93,+145.28,+23.88,+15.36
256,1,1,bytes,bytes,template_multimodal,2162188324.0000,2158790498.0000,+0.16,+19.88,+63.85,+14.22
256,1,1,cost,seconds,template_multimodal,315.5202,266.7609,+18.28,+118.97,+25.41,+8.10
256,4,4,bytes,bytes,template_multimodal,2162188324.0000,2158790498.0000,+0.16,+19.88,+421.62,+30.18
256,4,4,cost,seconds,template_multimodal,315.5202,249.7800,+26.32,+133.86,+82.36,+27.71
256,8,8,bytes,bytes,template_multimodal,2162188324.0000,2158790498.0000,+0.16,+19.88,+1163.88,+42.27
256,8,8,cost,seconds,template_multimodal,315.5202,246.6879,+27.90,+136.79,+164.83,+46.09
512,1,0,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+32.67,+12.87
512,1,0,cost,seconds,s3a_prefetch,186.8444,173.0134,+7.99,+237.62,+41.72,+35.43
512,1,1,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+64.87,+16.98
512,1,1,cost,seconds,template_multimodal,275.4239,201.9504,+36.38,+189.25,+32.95,+20.16
512,4,4,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+416.38,+30.90
512,4,4,cost,seconds,template_multimodal,275.4239,154.8071,+77.91,+277.33,+106.90,+62.53
512,8,8,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+877.85,+37.10
512,8,8,cost,seconds,template_multimodal,275.4239,171.9468,+60.18,+239.72,+125.19,+55.74
1024,1,0,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+32.52,+12.87
1024,1,0,cost,seconds,s3a_prefetch,165.9050,164.5869,+0.80,+254.91,+48.82,+42.36
1024,1,1,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+62.72,+16.98
1024,1,1,cost,seconds,s3a_prefetch,225.4250,186.7727,+20.69,+212.75,+41.54,+29.92
1024,4,4,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+280.59,+30.90
1024,4,4,cost,seconds,template_multimodal,275.4239,118.7265,+131.98,+392.00,+126.13,+111.93
1024,8,8,bytes,bytes,template_multimodal,1402355387.0000,1398957561.0000,+0.24,+85.00,+729.78,+37.10
1024,8,8,cost,seconds,template_multimodal,275.4239,105.8725,+160.15,+451.73,+226.06,+152.94
