timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260812-115659,e2_passthrough_r1,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,377403268972,34221625.1,25858343,88441547,115932928,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,taxi,659,1064016617,659,1064016617,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,mm,2785,569189337,2785,569189337,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,emb_real,1216,969764,1216,969764,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,tpch,1309,295968743,1309,295968743,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,fmnist,1216,6140828,1216,6140828,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,sift,1216,3142849,1216,3142849,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,clickbench,1572,646756165,1572,646756165,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-115659,e2_passthrough_r1,passthrough,prefix,lastfm,1216,1867138,1216,1867138,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,all,,11189,2588051441,11189,2588051441,1.0000,0.0000,0,0,0,375053690305,34010562.2,25503839,89429915,117961919,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,taxi,659,1064016617,659,1064016617,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,mm,2785,569189337,2785,569189337,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,emb_real,1216,969764,1216,969764,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,tpch,1309,295968743,1309,295968743,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,fmnist,1216,6140828,1216,6140828,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,sift,1216,3142849,1216,3142849,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,clickbench,1572,646756165,1572,646756165,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-120327,e2_passthrough_r2,passthrough,prefix,lastfm,1216,1867138,1216,1867138,1.0000,0.0000,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,all,,11189,2588051441,4176,5556851143,2.1471,0.6268,0,0,0,219879625452,20188869.2,21613,96692221,129238192,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,taxi,659,1064016617,534,1268115362,1.1918,0.1897,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,mm,2785,569189337,1339,1513905619,2.6598,0.5192,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,tpch,1309,295968743,287,310825076,1.0502,0.7807,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,fmnist,1216,6140828,186,193033765,31.4345,0.8470,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,sift,1216,3142849,362,377367188,120.0717,0.7023,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,clickbench,1572,646756165,1464,1889459109,2.9214,0.0687,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-135159,e3_force_s3a_prefetch_b256,forced_s3a_prefetch,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,all,,11189,2588051441,5965,2170498785,0.8387,0.4669,0,0,0,247866034857,22697588.9,19539600,93063841,125167702,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,taxi,659,1064016617,490,801511881,0.7533,0.2564,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,mm,2785,569189337,1705,452949817,0.7958,0.3878,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,emb_real,1216,969764,25,1759614,1.8145,0.9794,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,tpch,1309,295968743,605,122729226,0.4147,0.5378,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,fmnist,1216,6140828,951,63541325,10.3474,0.2179,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,sift,1216,3142849,756,49700021,15.8137,0.3783,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,clickbench,1572,646756165,1358,672823988,1.0403,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134347,e3_force_s3a_random_b256,forced_s3a_random,prefix,lastfm,1216,1867138,75,5482913,2.9365,0.9383,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,all,,11189,2588051441,5643,2451835144,0.9474,0.4957,0,0,0,244616094846,22372123.5,16957186,94297412,129107854,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,prefix,taxi,659,1064016617,496,858657634,0.8070,0.2473,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,prefix,mm,2785,569189337,1687,551738356,0.9693,0.3943,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,prefix,emb_real,1216,969764,7,1169790,1.2063,0.9942,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,prefix,tpch,1309,295968743,564,149719125,0.5059,0.5691,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,prefix,fmnist,1216,6140828,841,110116045,17.9318,0.3084,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260812-134805,e3_force_template_locality_b256,forced_template_locality,prefix,sift,1216,3142849,678,66124097,21.0395,0.4424,0,0,0,0,0.0,0,0,0,0,0,0,0,0
