query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,1,1.482,1.482,1.482,1.482,0.0,0
2,1,0.928,0.928,0.928,0.928,0.0,0
3,1,0.71,0.71,0.71,0.71,0.0,0
4,1,0.704,0.704,0.704,0.704,0.0,0
5,1,3.732,3.732,3.732,3.732,0.0,0
6,1,3.689,3.689,3.689,3.689,0.0,0
7,1,0.364,0.364,0.364,0.364,0.0,0
8,1,0.715,0.715,0.715,0.715,0.0,0
9,1,3.718,3.718,3.718,3.718,0.0,0
10,1,4.261,4.261,4.261,4.261,0.0,0
11,1,1.859,1.859,1.859,1.859,0.0,0
12,1,1.834,1.834,1.834,1.834,0.0,0
13,1,2.582,2.582,2.582,2.582,0.0,0
14,1,5.271,5.271,5.271,5.271,0.0,0
15,1,2.628,2.628,2.628,2.628,0.0,0
16,1,2.769,2.769,2.769,2.769,0.0,0
17,1,4.77,4.77,4.77,4.77,0.0,0
18,1,3.601,3.601,3.601,3.601,0.0,0
19,1,8.853,8.853,8.853,8.853,0.0,0
20,1,0.337,0.337,0.337,0.337,0.0,0
21,1,7.345,7.345,7.345,7.345,0.0,0
22,1,3.22,3.22,3.22,3.22,0.0,0
23,1,7.944,7.944,7.944,7.944,0.0,0
24,1,57.337,57.337,57.337,57.337,0.0,0
25,1,1.109,1.109,1.109,1.109,0.0,0
26,1,0.693,0.693,0.693,0.693,0.0,0
27,1,1.048,1.048,1.048,1.048,0.0,0
28,1,4.193,4.193,4.193,4.193,0.0,0
29,1,16.023,16.023,16.023,16.023,0.0,0
30,1,4.332,4.332,4.332,4.332,0.0,0
31,1,2.211,2.211,2.211,2.211,0.0,0
32,1,2.693,2.693,2.693,2.693,0.0,0
33,1,12.914,12.914,12.914,12.914,0.0,0
34,1,8.685,8.685,8.685,8.685,0.0,0
35,1,8.041,8.041,8.041,8.041,0.0,0
36,1,3.243,3.243,3.243,3.243,0.0,0
37,1,1.032,1.032,1.032,1.032,0.0,0
38,1,0.475,0.475,0.475,0.475,0.0,0
39,1,0.505,0.505,0.505,0.505,0.0,0
40,1,1.469,1.469,1.469,1.469,0.0,0
41,1,0.498,0.498,0.498,0.498,0.0,0
42,1,0.673,0.673,0.673,0.673,0.0,0
43,1,0.382,0.382,0.382,0.382,0.0,0
