query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,2,13.094999999999999,13.094999999999999,11.6,14.59,2.114249275747777,0
2,2,24.98,24.98,24.04,25.92,1.329360748630711,0
3,2,17.985,17.985,17.45,18.52,0.756604255869606,0
4,2,18.055,18.055,17.66,18.45,0.558614357137372,0
5,2,23.14,23.14,22.49,23.79,0.9192388155425123,0
6,2,21.89,21.89,21.74,22.04,0.21213203435596475,0
7,2,16.015,16.015,15.65,16.38,0.5161879502661787,0
8,2,24.375,24.375,24.29,24.46,0.12020815280171429,0
9,2,24.82,24.82,23.14,26.5,2.3758787847867993,0
10,2,24.42,24.42,24.22,24.62,0.2828427124746205,0
11,2,31.59,31.59,31.1,32.08,0.6929646455628143,0
12,2,82.50999999999999,82.50999999999999,32.45,132.57,70.79553093239713,1
13,2,217.215,217.215,34.45,399.98,258.46874172711875,0
14,2,149.22500000000002,149.22500000000002,37.48,260.97,158.03129452738153,0
15,2,38.385,38.385,36.26,40.51,3.005203820042827,0
16,2,22.564999999999998,22.564999999999998,21.18,23.95,1.9586857838867364,0
17,2,28.134999999999998,28.134999999999998,27.98,28.29,0.21920310216782882,0
18,2,25.28,25.28,24.05,26.51,1.7394826817189075,0
19,2,43.019999999999996,43.019999999999996,31.56,54.48,16.206887424795667,0
20,2,42.86,42.86,27.16,58.56,22.203152929257595,0
21,2,106.955,106.955,101.52,112.39,7.686250711497775,0
22,2,63.205,63.205,61.71,64.7,2.1142492757477784,0
23,2,111.89500000000001,111.89500000000001,86.36,137.43,36.11194331519699,0
24,2,336.8,336.8,217.54,456.06,168.6591094486153,0
25,2,44.545,44.545,37.93,51.16,9.355022715098022,0
26,2,76.89,76.89,35.56,118.22,58.44944653288002,0
27,2,45.72,45.72,43.44,48.0,3.224406922210658,0
28,2,58.114999999999995,58.114999999999995,58.05,58.18,0.09192388155425299,0
29,2,70.64,70.64,63.77,77.51,9.715647173503164,0
30,2,21.335,21.335,21.05,21.62,0.40305086527633227,0
31,2,37.025,37.025,36.07,37.98,1.3505739520663034,0
32,2,53.94,53.94,45.83,62.05,11.4692719908458,0
33,2,65.895,65.895,40.38,91.41,36.08365904394952,0
34,2,96.00999999999999,96.00999999999999,53.63,138.39,59.934370773371754,0
35,2,83.195,83.195,80.81,85.58,3.3728993462598287,0
36,2,21.985,21.985,21.23,22.74,1.0677312395916854,0
37,2,12.7,12.7,12.66,12.74,0.05656854249492385,0
38,2,12.67,12.67,12.49,12.85,0.2545584412271567,0
39,2,12.55,12.55,12.49,12.61,0.08485281374238515,0
40,2,12.745,12.745,12.7,12.79,0.06363961030678918,0
41,2,12.620000000000001,12.620000000000001,12.6,12.64,0.028284271247462554,0
42,2,13.22,13.22,12.46,13.98,1.074802307403552,0
43,2,13.105,13.105,12.53,13.68,0.8131727983645299,0
