query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,1,2.343,2.343,2.343,2.343,0.0,0
2,1,1.623,1.623,1.623,1.623,0.0,0
3,1,1.321,1.321,1.321,1.321,0.0,0
4,1,1.221,1.221,1.221,1.221,0.0,0
5,1,7.794,7.794,7.794,7.794,0.0,0
6,1,5.553,5.553,5.553,5.553,0.0,0
7,1,0.673,0.673,0.673,0.673,0.0,0
8,1,0.982,0.982,0.982,0.982,0.0,0
9,1,6.397,6.397,6.397,6.397,0.0,0
10,1,7.782,7.782,7.782,7.782,0.0,0
11,1,2.736,2.736,2.736,2.736,0.0,0
12,1,3.155,3.155,3.155,3.155,0.0,0
13,1,4.285,4.285,4.285,4.285,0.0,0
14,1,8.134,8.134,8.134,8.134,0.0,0
15,1,4.168,4.168,4.168,4.168,0.0,0
16,1,4.701,4.701,4.701,4.701,0.0,0
17,1,8.422,8.422,8.422,8.422,0.0,0
18,1,29.261,29.261,29.261,29.261,0.0,0
19,1,35.273,35.273,35.273,35.273,0.0,0
20,1,14.048,14.048,14.048,14.048,0.0,0
21,1,17.897,17.897,17.897,17.897,0.0,0
22,1,3.472,3.472,3.472,3.472,0.0,0
23,1,15.402,15.402,15.402,15.402,0.0,0
24,1,118.596,118.596,118.596,118.596,0.0,0
25,1,1.722,1.722,1.722,1.722,0.0,0
26,1,1.082,1.082,1.082,1.082,0.0,0
27,1,1.503,1.503,1.503,1.503,0.0,0
28,1,5.971,5.971,5.971,5.971,0.0,0
29,1,22.625,22.625,22.625,22.625,0.0,0
30,1,6.325,6.325,6.325,6.325,0.0,0
31,1,2.807,2.807,2.807,2.807,0.0,0
32,1,3.617,3.617,3.617,3.617,0.0,0
33,1,14.29,14.29,14.29,14.29,0.0,0
34,1,32.383,32.383,32.383,32.383,0.0,0
35,1,23.485,23.485,23.485,23.485,0.0,0
36,1,3.917,3.917,3.917,3.917,0.0,0
37,1,1.325,1.325,1.325,1.325,0.0,0
38,1,0.45,0.45,0.45,0.45,0.0,0
39,1,0.566,0.566,0.566,0.566,0.0,0
40,1,1.715,1.715,1.715,1.715,0.0,0
41,1,0.372,0.372,0.372,0.372,0.0,0
42,1,0.507,0.507,0.507,0.507,0.0,0
43,1,0.399,0.399,0.399,0.399,0.0,0
