query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,2,27.0925,27.0925,25.008,29.177,2.947928170766717,0
2,2,43.9265,43.9265,43.285,44.568,0.9072180002623413,0
3,2,37.4105,37.4105,35.402,39.419,2.8404479400263587,0
4,2,36.499,36.499,34.837,38.161,2.3504229406640826,0
5,2,40.085499999999996,40.085499999999996,38.028,42.143,2.9097444045826446,0
6,2,46.628,46.628,38.803,54.453,11.066221125569474,0
7,2,32.947,32.947,32.53,33.364,0.5897270555095778,0
8,2,43.873000000000005,43.873000000000005,43.573,44.173,0.4242640687119295,0
9,2,39.8495,39.8495,38.238,41.461,2.279005155764242,0
10,2,43.457499999999996,43.457499999999996,40.927,45.988,3.578667419585117,0
11,2,61.5145,61.5145,59.623,63.406,2.67498495322871,0
12,2,63.214,63.214,62.271,64.157,1.3336033893178256,0
13,2,67.95100000000001,67.95100000000001,62.88,73.022,7.1714769747939675,0
14,2,69.1675,69.1675,67.936,70.399,1.7416040020624621,0
15,2,67.4885,67.4885,62.265,72.712,7.3871445430558635,0
16,2,62.0235,62.0235,38.642,85.405,33.06643440862652,0
17,2,71.7375,71.7375,42.437,101.038,41.43716448431287,0
18,2,47.853,47.853,41.625,54.081,8.807722066459638,0
19,2,55.8715,55.8715,49.182,62.561,9.460381625494819,0
20,2,43.608000000000004,43.608000000000004,37.691,49.525,8.3679016485616,0
21,2,71.613,71.613,71.562,71.664,0.07212489168103058,0
22,2,74.7075,74.7075,67.368,82.047,10.379620441037332,0
23,2,145.0705,145.0705,112.735,177.406,45.72930264611522,0
24,2,395.84450000000004,395.84450000000004,338.172,453.517,81.5612316759623,0
25,2,68.7015,68.7015,67.237,70.166,2.071115762095399,0
26,2,62.563,62.563,60.817,64.309,2.469216879903422,0
27,2,68.2085,68.2085,66.459,69.958,2.4741666273717264,0
28,2,87.04,87.04,86.558,87.522,0.6816509370638308,0
29,2,116.19999999999999,116.19999999999999,92.986,139.414,32.82955363692901,0
30,2,38.625,38.625,38.165,39.085,0.650538238691625,0
31,2,65.54849999999999,65.54849999999999,64.672,66.425,1.2395581874200179,0
32,2,83.8225,83.8225,70.995,96.65,18.140824471340878,0
33,2,68.68950000000001,68.68950000000001,67.574,69.805,1.5775552288271937,0
34,2,100.082,100.082,95.856,104.308,5.976466514588709,0
35,2,133.7825,133.7825,92.612,174.953,58.22387946968151,0
36,2,39.1255,39.1255,38.558,39.693,0.80256619664673,0
37,2,27.421,27.421,27.357,27.485,0.09050966799187816,0
38,2,25.272,25.272,25.254,25.29,0.025455844122714164,0
39,2,28.164,28.164,25.09,31.238,4.347292490734894,0
40,2,27.808999999999997,27.808999999999997,25.849,29.769,2.771858582251265,0
41,2,26.113,26.113,25.976,26.25,0.19374725804511467,0
42,2,25.1315,25.1315,25.017,25.246,0.1619274528917188,0
43,2,26.515,26.515,25.253,27.777,1.7847375157148466,0
