query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,2,10.7255,10.7255,9.615,11.836,1.5704841610153222,0
2,2,18.3655,18.3655,18.309,18.422,0.07990306627407955,0
3,2,14.289,14.289,14.136,14.442,0.21637467504308422,0
4,2,14.604500000000002,14.604500000000002,14.566,14.643,0.054447222151364126,0
5,2,16.255000000000003,16.255000000000003,15.832,16.678,0.5982123368838193,0
6,2,18.485500000000002,18.485500000000002,18.212,18.759,0.38678740930904193,0
7,2,12.098500000000001,12.098500000000001,12.067,12.13,0.044547727214752926,0
8,2,18.0885,18.0885,17.843,18.334,0.3471894295625946,0
9,2,18.647,18.647,18.043,19.251,0.8541849916733508,0
10,2,20.386000000000003,20.386000000000003,19.931,20.841,0.6434671708797584,0
11,2,21.8615,21.8615,21.821,21.902,0.05727564927611001,0
12,2,21.825,21.825,21.686,21.964,0.1965756851698593,0
13,2,22.9135,22.9135,22.518,23.309,0.5593214639185593,0
14,2,26.2735,26.2735,26.242,26.305,0.04454772721475167,0
15,2,21.57,21.57,21.291,21.849,0.3945655839020934,0
16,2,17.4135,17.4135,17.34,17.487,0.1039446968344214,0
17,2,21.070999999999998,21.070999999999998,20.642,21.5,0.6066976182580581,0
18,2,18.231,18.231,18.09,18.372,0.19940411229460642,0
19,2,23.7665,23.7665,23.457,24.076,0.4376990975544728,0
20,2,16.215,16.215,16.144,16.286,0.10040916292849188,0
21,2,39.721000000000004,39.721000000000004,39.077,40.365,0.9107535341682759,0
22,2,42.04,42.04,41.939,42.141,0.14283556979968132,0
23,2,47.1665,47.1665,47.046,47.287,0.1704127342659577,0
24,2,175.4265,175.4265,171.506,179.347,5.544424271283725,0
25,2,23.168,23.168,23.079,23.257,0.12586500705120604,0
26,2,20.2765,20.2765,20.013,20.54,0.37264527368530875,0
27,2,22.122500000000002,22.122500000000002,21.253,22.992,1.2296586924834068,0
28,2,44.7565,44.7565,44.137,45.376,0.8761053018901304,0
29,2,47.8025,47.8025,47.539,48.066,0.37264527368531125,0
30,2,16.2595,16.2595,16.098,16.421,0.22839549032325512,0
31,2,24.508499999999998,24.508499999999998,24.501,24.516,0.010606601717796102,0
32,2,25.311500000000002,25.311500000000002,25.105,25.518,0.2920351006300443,0
33,2,26.2095,26.2095,26.183,26.236,0.0374766594028876,0
34,2,43.1575,43.1575,41.023,45.292,3.01863884888537,0
35,2,40.835,40.835,40.591,41.079,0.34506810921903486,0
36,2,15.712499999999999,15.712499999999999,15.706,15.719,0.009192388155425047,0
37,2,11.536000000000001,11.536000000000001,11.531,11.541,0.007071067811865324,0
38,2,10.389,10.389,10.309,10.469,0.1131370849898477,0
39,2,10.7005,10.7005,10.673,10.728,0.038890872965259914,0
40,2,13.886,13.886,13.759,14.013,0.17960512242138277,0
41,2,10.1805,10.1805,10.176,10.185,0.006363961030679169,0
42,2,12.988,12.988,10.399,15.577,3.6613989129839437,0
43,2,10.8805,10.8805,10.487,11.274,0.5564930367938122,0
