query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,5,183.59,183.79840000000002,182.835,185.216,0.8700214365175153,0
2,5,42.029,43.508,41.38,48.856,3.0709763105566283,0
3,5,156.704,151.8582,129.416,158.912,12.578200236917844,0
4,5,116.112,114.878,100.339,126.204,9.267374682184808,0
5,5,133.381,142.7464,131.23,159.69,13.954157885734276,0
6,5,151.056,150.8794,150.363,151.387,0.4380106163097008,0
7,5,165.065,165.4112,164.426,167.52,1.2553257346203088,0
8,5,188.391,179.4614,158.988,193.325,16.37613297759883,0
9,5,222.821,216.8388,187.274,226.078,16.6306569834147,0
10,5,161.434,157.6378,133.449,171.591,14.300148170561028,0
11,5,45.817,45.7478,43.019,47.406,1.7684079563268198,0
12,5,159.917,160.0276,158.125,163.854,2.329952317108662,0
13,5,71.543,71.016,68.85,72.887,1.8231593457512176,0
14,5,120.58,120.891,119.767,122.991,1.2653408631669187,0
15,5,231.289,235.8588,230.094,255.322,10.892717002658248,0
16,5,29.361,30.5356,28.436,34.875,2.665361382627129,0
17,5,222.032,222.2704,220.174,225.317,2.0058809286694963,0
18,5,170.233,171.4382,169.511,175.885,2.582808490771235,0
19,5,144.876,145.5468,144.159,149.378,2.1649835334246714,0
20,5,159.812,159.3406,152.891,166.329,5.510333229488039,0
21,5,295.709,295.7716,270.412,334.984,24.35165637692845,0
22,5,39.572,39.147800000000004,36.49,40.694,1.6540822833220836,0
