query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,5,127.852,128.8232,125.375,135.734,4.007686577066629,0
7,5,65.738,68.1112,64.465,74.587,4.403615298819824,0
8,5,165.595,160.7868,148.944,169.905,9.445178621921348,0
9,5,176.94,203.1196,176.345,298.892,53.728548075487765,0
10,5,85.197,100.6216,75.258,175.35,42.013940261537,0
12,5,43.398,48.242,40.609,69.731,12.11153600911131,0
15,5,29.683,40.3566,29.566,56.653,14.70963338428256,0
17,5,171.098,178.382,169.811,206.5,15.773465107578613,0
18,5,205.169,228.7016,202.621,301.776,42.587022809771526,0
21,5,239.708,248.307,212.979,325.45,44.715614331014166,0
