query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,5,132.779,142.8226,129.584,175.613,19.464002936189665,0
2,5,38.859,48.217,36.227,81.584,19.148938051495183,0
3,5,79.778,85.9916,78.502,104.277,11.107685686046397,0
4,5,92.549,93.2686,81.103,113.021,13.00425356566074,0
5,5,122.227,154.4044,117.733,252.567,57.86956936767372,0
6,5,23.948,42.7834,23.312,119.156,42.694867230148404,0
7,5,64.425,75.0782,63.995,92.729,14.827463410846779,0
8,5,162.833,186.7542,153.767,288.842,57.623868090401565,0
9,5,185.448,280.5172,185.169,624.378,192.89091455716624,0
10,5,84.408,145.15,76.934,389.006,136.45237528713085,0
11,5,54.157,52.988,45.628,61.57,6.034141156784451,0
12,5,44.002,55.493,42.674,102.302,26.18234107179876,0
13,5,67.529,85.0518,66.869,154.908,39.055592156565744,0
14,5,17.973,22.3196,16.944,31.602,6.891389214084488,0
15,5,29.587,32.7132,28.53,42.744,5.950648930999038,0
16,5,28.832,34.2732,27.966,55.888,12.132741969563186,0
17,5,199.447,213.88320000000002,167.911,316.269,60.36494429882297,0
18,5,205.371,274.671,202.502,551.884,155.00413982374795,0
19,5,75.639,128.859,73.203,332.099,113.82152200045472,0
20,5,47.179,56.5774,44.219,80.847,15.749201021004206,0
21,5,219.938,284.33,214.227,545.473,146.04766225619633,0
22,5,33.329,42.9596,31.321,75.745,18.715768506796618,0
