query,n,median_s,mean_s,min_s,max_s,stdev_s,n_errors
1,5,135.192,143.7178,132.094,176.965,18.824015995530818,0
2,5,42.299,42.6808,40.907,44.607,1.5590234764107966,0
3,5,77.605,77.553,73.011,82.556,3.610701940066502,0
4,5,71.189,70.8434,67.994,72.23,1.6608021555862709,0
5,5,110.14,109.0158,104.772,112.482,3.060913785130184,0
6,5,24.05,24.302,23.086,25.461,0.9354536332710458,0
7,5,75.601,76.6294,70.397,86.68,6.632721560566221,0
8,5,161.277,164.3218,144.96,200.72,21.50740608953111,0
9,5,197.757,197.9362,192.085,203.787,4.283765306363083,0
10,5,68.705,68.0284,64.473,70.532,2.2975622516049485,0
11,5,44.984,48.7666,44.126,56.952,5.807587519788228,0
12,5,47.333,47.492399999999996,45.152,50.73,2.193520070571498,0
13,5,70.792,71.0248,68.676,75.034,2.4729117857295293,0
14,5,18.932,20.1294,18.155,25.933,3.266058832905494,0
15,5,36.103,36.6996,35.102,38.513,1.3862818256040146,0
16,5,27.726,27.7598,26.921,28.71,0.643007931521844,0
17,5,177.688,177.78539999999998,172.593,184.16,4.620589875762617,0
18,5,225.549,225.5118,216.264,240.955,10.020473127552412,0
19,5,76.395,80.1696,75.432,95.681,8.692603856152653,0
20,5,46.373,46.293,44.318,48.722,1.6411864610701623,0
21,5,238.11,236.2842,222.045,253.571,12.357386604780157,0
22,5,45.717,48.8386,40.842,57.909,7.84704576895025,0
